species,palmitic acid,stearic acid ,Oleic Acid ,Linoleic acid ,alpha-linoleic acid ,arachidic acid ,EPA ,DHA,gamma-linoleic acid,stearidonic acid,nervonic acid
Linaceae,5.998604651,3.121627907,20.89111111,16.02555556,52.88518519,0.123,nm,nm,0.057142857,nm,nm
Fabaceae,13.02907216,3.711649485,17.46327273,30.51769231,15.87194828,1.122289157,0.32,0.06,1.142208333,nm,0.2075
Rosaceae,5.937181818,1.954380952,13.76375,39.176,20.28328125,0.86742268,nm,nm,1.45,nm,nm
Elaeagnaceae,20.88,3.24,nm,nm,18.38,4.08,nm,nm,nm,nm,nm
Rhamnaceae,6.75,3.98,31.38,nm,35.13,0.85,nm,0,nm,nm,0
Urticaceae,14.13,2.14,nm,nm,30.86,2.98,nm,nm,nm,nm,nm
Ulmaceae,40,25,nm,nm,nm,nm,nm,nm,nm,nm,nm
Cannabaceae,19.52,1.6,1.88,29.72,38.16,2.34,0,0,0.36,nm,nm
Moraceae,5.44,3.72,5.62,21.74,31.42,0.26,nm,nm,nm,nm,nm
Cucurbitaceae,13.643,8.535753425,26.52373134,49.98166667,5.6835,0.869258065,0.13,0,0,nm,0
Fagaceae,12.7,2.0125,2049.676667,nm,,0.435,nm,nm,nm,nm,nm
Juglandaceae,5.4025,2.679375,20.34,62.92,12.06,0.096,nm,nm,nm,nm,nm
Betulaceae,3.87,1.46,nm,nm,0.53,0.24,nm,nm,nm,nm,nm
Charales,2.07,6.3,nm,nm,nm,0,nm,nm,nm,nm,nm
Zygnematales,10.20385714,1.078571429,25.04,nm,nm,2.6425,nm,nm,nm,nm,nm
Sphaeropleales,1.607416667,0.6188,1.53968,0.8281,1.77348,0.612366667,0.00282,0,0.0512,0.18322,nm
Chlamydomonadales,12.55856,0.583433333,3.186677778,5.214266667,31.4325,0.333333333,0.0625,0,2.053644444,1.9785,nm
Tetrasporales,2.12,1.275,nm,nm,nm,0,nm,nm,nm,nm,nm
Chaetophorales,0,0,nm,nm,nm,0,nm,nm,nm,nm,nm
Prasiolales,24.5,0.5,0.8,18.3,28.2,nm,0,0,0,0,nm
Chlorellales,19.26666667,1.25,3.766666667,11.03333333,24.36666667,0.1,0.75,0,0.05,0.516666667,nm
Cladophorales,22.19157892,1.779783923,15.394,17.76666667,2.875247,0.19493975,2.5,0.6,0.39485125,0.566666667,nm
Ulvales,23.00928464,1.064761909,1.45,8.4,13.462447,0.300131,2.25,1.375,0.9401994,10.1,nm
Ulotrichales,20.95,3.1,nm,nm,nm,nm,nm,nm,nm,nm,nm
Chlorodendrales,22.22222222,1.377777778,8.255555556,6.588888889,15.42222222,0,5.344444444,0.111111111,0.5,8.133333333,nm
Nephroselmidales,19.9,2.3,2.4,3,14,nm,2.4,3,1.3,18,nm
Pseudoscourfieldiales,20.2,0.5,2.2,1.4,5.2,nm,0.2,7.4,0.7,26.3,nm
Mamiellales,17.1,1.4,0.65,0.6,4.75,nm,0.95,8,0.25,18.55,nm
Pyramimonadales,13.4,1.3,0.2,0.7,4.6,nm,0.4,4.5,0,25.6,nm
Nemastomatales,36.8,14.1,nm,nm,nm,1,nm,nm,nm,nm,nm
Gracilariales,26.65446456,0.648652667,3.815714286,0.874285714,0.266901,0.00009875,6.957142857,0,0.257262571,0.557142857,0
Gelidiales,12.192016,1.6022405,nm,nm,0.000181,0.000143,nm,nm,0.000141,nm,nm
Ceramiales,31.08526667,2.802933333,6.90575,0.772,0,0.10725,4.089,0.39925,0.275,0,0
Gigartinales,33.62433333,4.029666667,13.09,0.97,0,0.165,19.281,0,0.14,nm,0
Peyssonneliales,36.728,10.4055,13.34,0.593,0,0.353,1.65,0,0,nm,0
Bonnemaisoniales,0.07206,0.005153,nm,nm,0.000043,0.000139,nm,nm,0.000035,nm,nm
Corallinales,22.75333333,3.306666667,1.7,3.8,nm,nm,31.4,nm,1.5,nm,nm
Nemaliales,9,4.02,2.8,nm,nm,nm,nm,nm,nm,nm,nm
